([:sflt/Rank :rdfs/label "Officer rank"]
 [:sflt/Rank :rdf/type :owl/Class]
 [:sflt/Ship :rdfs/label "Class for ships"]
 [:sflt/Ship :rdf/type :owl/Class]
 [:sflt/DrCrusher :sflt/eligibleFor :sflt/Commander]
 [:sflt/DrCrusher :sflt/hasRank :sflt/Commander]
 [:sflt/DrCrusher :sflt/hasName "Dr. Beverly Crusher"]
 [:sflt/DrCrusher :rdfs/label "Dr. Beverly Crusher"]
 [:sflt/DrCrusher :rdf/type :sflt/Nameable]
 [:sflt/DrCrusher :rdf/type :sflt/Officer]
 [:sflt/LaForge :sflt/eligibleFor :sflt/LieutenantCommander]
 [:sflt/LaForge :sflt/hasRank :sflt/LieutenantCommander]
 [:sflt/LaForge :sflt/hasName "Geordie LaForge"]
 [:sflt/LaForge :rdfs/label "Geordie LaForge"]
 [:sflt/LaForge :rdf/type :sflt/Nameable]
 [:sflt/LaForge :rdf/type :sflt/Officer]
 [:sflt/Goddard :sflt/hasWeapon :sflt/Phaser]
 [:sflt/Goddard :sflt/hasName "Goddard (NCC-1701-D/15)"]
 [:sflt/Goddard :rdf/type :sflt/Nameable]
 [:sflt/Goddard :rdf/type :sflt/Shuttlecraft]
 [:sflt/Weapon :rdfs/label "A Weapon"]
 [:sflt/Weapon :rdf/type :owl/Class]
 [:sflt/PhotonTorpedo :rdfs/label "Aft torpedoes, FIRE!"]
 [:sflt/PhotonTorpedo :rdf/type :sflt/Weapon]
 [:sflt/Commander :rdfs/label "Commander"]
 [:sflt/Commander :rdf/type :sflt/Rank]
 [:sflt/LieutenantCommander :rdfs/label "Lietenant Commander"]
 [:sflt/LieutenantCommander :rdf/type :sflt/Rank]
 [:sflt/LieutenantJG :rdfs/label "Lietenant Junior Grade"]
 [:sflt/LieutenantJG :rdf/type :sflt/Rank]
 [:sflt/Picard :sflt/eligibleFor :sflt/Admiral]
 [:sflt/Picard :sflt/eligibleFor :sflt/Captain]
